@RELATION 'Onset events in 0003'

@ATTRIBUTE 'Onset time in seconds' NUMERIC
@ATTRIBUTE 'Onset events of AcousticGuitar' STRING
@ATTRIBUTE 'Onset events of AltoSax' STRING
@ATTRIBUTE 'Onset events of Balalaika' STRING
@ATTRIBUTE 'Onset events of BrightPiano' STRING
@ATTRIBUTE 'Onset events of Cello' STRING
@ATTRIBUTE 'Onset events of Clarinet' STRING
@ATTRIBUTE 'Onset events of DoubleBassArco' STRING
@ATTRIBUTE 'Onset events of DoubleBassPizz' STRING
@ATTRIBUTE 'Onset events of Drums' STRING
@ATTRIBUTE 'Onset events of ElectricBass' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarClean' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarCrunch' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarLead' STRING
@ATTRIBUTE 'Onset events of ElectricPiano' STRING
@ATTRIBUTE 'Onset events of Erhu' STRING
@ATTRIBUTE 'Onset events of Flugelhorn' STRING
@ATTRIBUTE 'Onset events of Flute' STRING
@ATTRIBUTE 'Onset events of Fujara' STRING
@ATTRIBUTE 'Onset events of Jinghu' STRING
@ATTRIBUTE 'Onset events of MorinKhuur' STRING
@ATTRIBUTE 'Onset events of OrganBass' STRING
@ATTRIBUTE 'Onset events of PanFlute' STRING
@ATTRIBUTE 'Onset events of Piano' STRING
@ATTRIBUTE 'Onset events of Shakuhachi' STRING
@ATTRIBUTE 'Onset events of Sitar' STRING
@ATTRIBUTE 'Onset events of TenorSax' STRING
@ATTRIBUTE 'Onset events of Trombone' STRING
@ATTRIBUTE 'Onset events of Trumpet' STRING
@ATTRIBUTE 'Onset events of Ukulele' STRING
@ATTRIBUTE 'Onset events of Viola' STRING
@ATTRIBUTE 'Onset events of Violin' STRING

@DATA
6.857136,'[]','[]','[]','[]','[]','[]','[+45]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[+64,+69,+73]','[]','[]'
7.285707,'[]','[]','[]','[]','[]','[]','[45]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+69]','[]','[]','[]','[]','[64,69,73]','[]','[]'
7.714278,'[]','[]','[]','[]','[]','[]','[45]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[64,69,73]','[]','[]'
8.142849,'[]','[]','[]','[]','[]','[]','[45]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[64,69,73]','[]','[]'
8.57142,'[]','[]','[]','[]','[]','[]','[45]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[64,69,73]','[]','[]'
8.999991,'[]','[]','[]','[]','[]','[]','[45]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[64,69,73]','[]','[]'
9.428562,'[]','[]','[]','[]','[]','[]','[45]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+76]','[]','[]','[]','[]','[64,69,73]','[]','[]'
9.857133,'[]','[]','[]','[]','[]','[]','[45]','[]','[+35]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+69]','[]','[]','[]','[]','[64,69,73]','[]','[]'
10.285704,'[]','[]','[]','[]','[]','[]','[+40]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[+64,+67,+71]','[]','[]'
10.714275,'[]','[]','[]','[]','[]','[]','[40]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[64,67,71]','[]','[]'
11.142846,'[]','[]','[]','[]','[]','[]','[40]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[64,67,71]','[]','[]'
11.571417,'[]','[]','[]','[]','[]','[]','[40]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+73]','[]','[]','[]','[]','[64,67,71]','[]','[]'
11.999988,'[]','[]','[]','[]','[]','[]','[+40]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[+64,+67,+71]','[]','[]'
12.428559,'[]','[]','[]','[]','[]','[]','[40]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[81]','[]','[]','[]','[]','[64,67,71]','[]','[]'
12.85713,'[]','[]','[]','[]','[]','[]','[40]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+78]','[]','[]','[]','[]','[64,67,71]','[]','[]'
13.285701,'[]','[]','[]','[]','[]','[]','[40]','[]','[+35]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[64,67,71]','[]','[]'
13.714272,'[]','[]','[]','[]','[]','[]','[+42]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+73]','[]','[]','[]','[]','[+66,+69,+73]','[]','[]'
14.142843,'[]','[]','[]','[]','[]','[]','[42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+78]','[]','[]','[]','[]','[66,69,73]','[]','[]'
14.571414,'[]','[]','[]','[]','[]','[]','[42]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[66,69,73]','[]','[]'
14.999985,'[]','[]','[]','[]','[]','[]','[42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+73]','[]','[]','[]','[]','[66,69,73]','[]','[]'
15.428556,'[]','[]','[]','[]','[]','[]','[42]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[66,69,73]','[]','[]'
15.857127,'[]','[]','[]','[]','[]','[]','[42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+79]','[]','[]','[]','[]','[66,69,73]','[]','[]'
16.285698,'[]','[]','[]','[]','[]','[]','[42]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+76]','[]','[]','[]','[]','[66,69,73]','[]','[]'
16.71427,'[]','[]','[]','[]','[]','[]','[42]','[]','[+35]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+78]','[]','[]','[]','[]','[66,69,73]','[]','[]'
17.14284,'[]','[]','[]','[]','[]','[]','[+47]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+74]','[]','[]','[]','[]','[+62,+66,+71]','[]','[]'
17.571411,'[]','[]','[]','[]','[]','[]','[47]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[62,66,71]','[]','[]'
17.999983,'[]','[]','[]','[]','[]','[]','[47]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+76]','[]','[]','[]','[]','[62,66,71]','[]','[]'
18.428553,'[]','[]','[]','[]','[]','[]','[47]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+69]','[]','[]','[]','[]','[62,66,71]','[]','[]'
18.857124,'[]','[]','[]','[]','[]','[]','[47]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[62,66,71]','[]','[]'
19.285696,'[]','[]','[]','[]','[]','[]','[47]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+79]','[]','[]','[]','[]','[62,66,71]','[]','[]'
19.714266,'[]','[]','[]','[]','[]','[]','[47]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[62,66,71]','[]','[]'
20.142836,'[]','[]','[]','[]','[]','[]','[47]','[]','[+35]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[62,66,71]','[]','[]'
20.571407,'[]','[]','[]','[]','[]','[]','[+47]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[+62,+66,+71]','[]','[]'
20.99998,'[]','[]','[]','[]','[]','[]','[47]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[62,66,71]','[]','[]'
21.42855,'[]','[]','[]','[]','[]','[]','[47]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[62,66,71]','[]','[]'
21.85712,'[]','[]','[]','[]','[]','[]','[47]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+73]','[]','[]','[]','[]','[62,66,71]','[]','[]'
22.285692,'[]','[]','[]','[]','[]','[]','[47]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[62,66,71]','[]','[]'
22.714264,'[]','[]','[]','[]','[]','[]','[47]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[62,66,71]','[]','[]'
23.142834,'[]','[]','[]','[]','[]','[]','[47]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+78]','[]','[]','[]','[]','[62,66,71]','[]','[]'
23.571404,'[]','[]','[]','[]','[]','[]','[47]','[]','[+35]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[62,66,71]','[]','[]'
23.999975,'[]','[]','[]','[]','[]','[]','[+40]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+64,+67,+71]','[]','[]'
24.428549,'[]','[]','[]','[]','[]','[]','[40]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[64,67,71]','[]','[]'
24.857119,'[]','[]','[]','[]','[]','[]','[40]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+69]','[]','[]','[]','[]','[64,67,71]','[]','[]'
25.285688,'[]','[]','[]','[]','[]','[]','[40]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+76]','[]','[]','[]','[]','[64,67,71]','[]','[]'
25.71426,'[]','[]','[]','[]','[]','[]','[+45]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+64,+69,+73]','[]','[]'
26.142832,'[]','[]','[]','[]','[]','[]','[45]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[64,69,73]','[]','[]'
26.571402,'[]','[]','[]','[]','[]','[]','[45]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+79]','[]','[]','[]','[]','[64,69,73]','[]','[]'
26.999971,'[]','[]','[]','[]','[]','[]','[45]','[]','[+35]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+69]','[]','[]','[]','[]','[64,69,73]','[]','[]'
27.428543,'[]','[]','[]','[]','[]','[]','[+40]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+79]','[]','[]','[]','[]','[+64,+67,+71]','[]','[]'
27.857117,'[]','[]','[]','[]','[]','[]','[40]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+76]','[]','[]','[]','[]','[64,67,71]','[]','[]'
28.285686,'[]','[]','[]','[]','[]','[]','[40]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[64,67,71]','[]','[]'
28.714256,'[]','[]','[]','[]','[]','[]','[40]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[71]','[]','[]','[]','[]','[64,67,71]','[]','[]'
29.142828,'[]','[]','[]','[]','[]','[]','[40]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+78]','[]','[]','[]','[]','[64,67,71]','[]','[]'
29.5714,'[]','[]','[]','[]','[]','[]','[40]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[64,67,71]','[]','[]'
29.99997,'[]','[]','[]','[]','[]','[]','[40]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+69]','[]','[]','[]','[]','[64,67,71]','[]','[]'
30.42854,'[]','[]','[]','[]','[]','[]','[40]','[]','[+35]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[69]','[]','[]','[]','[]','[64,67,71]','[]','[]'
30.857113,'[]','[]','[]','[]','[]','[]','[+43]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[+62,+67,+71]','[]','[]'
31.285685,'[]','[]','[]','[]','[]','[]','[43]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+73]','[]','[]','[]','[]','[62,67,71]','[]','[]'
31.714254,'[]','[]','[]','[]','[]','[]','[43]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+78]','[]','[]','[]','[]','[62,67,71]','[]','[]'
32.142822,'[]','[]','[]','[]','[]','[]','[43]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[62,67,71]','[]','[]'
32.571396,'[]','[]','[]','[]','[]','[]','[43]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+73]','[]','[]','[]','[]','[62,67,71]','[]','[]'
32.99997,'[]','[]','[]','[]','[]','[]','[43]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[62,67,71]','[]','[]'
33.42854,'[]','[]','[]','[]','[]','[]','[43]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+79]','[]','[]','[]','[]','[62,67,71]','[]','[]'
33.85711,'[]','[]','[]','[]','[]','[]','[43]','[]','[+35]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[62,67,71]','[]','[]'
34.28568,'[]','[]','[]','[]','[]','[]','[+42]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[+66,+69,+73]','[]','[]'
34.714252,'[]','[]','[]','[]','[]','[]','[42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+69]','[]','[]','[]','[]','[66,69,73]','[]','[]'
35.142822,'[]','[]','[]','[]','[]','[]','[42]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[66,69,73]','[]','[]'
35.571392,'[]','[]','[]','[]','[]','[]','[42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+78]','[]','[]','[]','[]','[66,69,73]','[]','[]'
35.999966,'[]','[]','[]','[]','[]','[]','[42]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+73]','[]','[]','[]','[]','[66,69,73]','[]','[]'
36.428535,'[]','[]','[]','[]','[]','[]','[42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[66,69,73]','[]','[]'
36.857105,'[]','[]','[]','[]','[]','[]','[42]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[66,69,73]','[]','[]'
37.285675,'[]','[]','[]','[]','[]','[]','[42]','[]','[+35]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[66,69,73]','[]','[]'
37.71425,'[]','[]','[]','[]','[]','[]','[+38]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+74]','[]','[]','[]','[]','[+62,+66,+69]','[]','[]'
38.14282,'[]','[]','[]','[]','[]','[]','[38]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[74]','[]','[]','[]','[]','[62,66,69]','[]','[]'
38.571392,'[]','[]','[]','[]','[]','[]','[38]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[74]','[]','[]','[]','[]','[62,66,69]','[]','[]'
38.99996,'[]','[]','[]','[]','[]','[]','[38]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[74]','[]','[]','[]','[]','[62,66,69]','[]','[]'
39.42853,'[]','[]','[]','[]','[]','[]','[38]','[]','[+35]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[62,66,69]','[]','[]'
39.642815,'[]','[]','[]','[]','[]','[]','[38]','[]','[35,+47]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[62,66,69]','[]','[]'
39.857105,'[]','[]','[]','[]','[]','[]','[38]','[]','[+41]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[62,66,69]','[]','[]'
40.28567,'[]','[]','[]','[]','[]','[]','[38]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[62,66,69]','[]','[]'
40.49996,'[]','[]','[]','[]','[]','[]','[38]','[]','[+47]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[62,66,69]','[]','[]'
40.714245,'[]','[]','[]','[]','[]','[]','[38]','[]','[+35,+41]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[62,66,69]','[]','[]'
41.142815,'[]','[]','[]','[]','[]','[]','[+45]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[+64,+69,+73]','[]','[]'
41.57139,'[]','[]','[]','[]','[]','[]','[45]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[64,69,73]','[]','[]'
41.99996,'[]','[]','[]','[]','[]','[]','[45]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[64,69,73]','[]','[]'
42.428528,'[]','[]','[]','[]','[]','[]','[45]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+73]','[]','[]','[]','[]','[64,69,73]','[]','[]'
42.8571,'[]','[]','[]','[]','[]','[]','[45]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[64,69,73]','[]','[]'
43.28567,'[]','[]','[]','[]','[]','[]','[45]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[64,69,73]','[]','[]'
43.71424,'[]','[]','[]','[]','[]','[]','[45]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+78]','[]','[]','[]','[]','[64,69,73]','[]','[]'
44.14281,'[]','[]','[]','[]','[]','[]','[45]','[]','[+35]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[64,69,73]','[]','[]'
44.571384,'[]','[]','[]','[]','[]','[]','[+45]','[]','[+35,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+73]','[]','[]','[]','[]','[+64,+69,+73]','[]','[]'
44.999954,'[]','[]','[]','[]','[]','[]','[45]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+78]','[]','[]','[]','[]','[64,69,73]','[]','[]'
45.428528,'[]','[]','[]','[]','[]','[]','[45]','[]','[+40,+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+81]','[]','[]','[]','[]','[64,69,73]','[]','[]'
