@RELATION 'Onset events in 0002'

@ATTRIBUTE 'Onset time in seconds' NUMERIC
@ATTRIBUTE 'Onset events of AcousticGuitar' STRING
@ATTRIBUTE 'Onset events of AltoSax' STRING
@ATTRIBUTE 'Onset events of Balalaika' STRING
@ATTRIBUTE 'Onset events of BrightPiano' STRING
@ATTRIBUTE 'Onset events of Cello' STRING
@ATTRIBUTE 'Onset events of Clarinet' STRING
@ATTRIBUTE 'Onset events of DoubleBassArco' STRING
@ATTRIBUTE 'Onset events of DoubleBassPizz' STRING
@ATTRIBUTE 'Onset events of Drums' STRING
@ATTRIBUTE 'Onset events of ElectricBass' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarClean' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarCrunch' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarLead' STRING
@ATTRIBUTE 'Onset events of ElectricPiano' STRING
@ATTRIBUTE 'Onset events of Erhu' STRING
@ATTRIBUTE 'Onset events of Flugelhorn' STRING
@ATTRIBUTE 'Onset events of Flute' STRING
@ATTRIBUTE 'Onset events of Fujara' STRING
@ATTRIBUTE 'Onset events of Jinghu' STRING
@ATTRIBUTE 'Onset events of MorinKhuur' STRING
@ATTRIBUTE 'Onset events of OrganBass' STRING
@ATTRIBUTE 'Onset events of PanFlute' STRING
@ATTRIBUTE 'Onset events of Piano' STRING
@ATTRIBUTE 'Onset events of Shakuhachi' STRING
@ATTRIBUTE 'Onset events of Sitar' STRING
@ATTRIBUTE 'Onset events of TenorSax' STRING
@ATTRIBUTE 'Onset events of Trombone' STRING
@ATTRIBUTE 'Onset events of Trumpet' STRING
@ATTRIBUTE 'Onset events of Ukulele' STRING
@ATTRIBUTE 'Onset events of Viola' STRING
@ATTRIBUTE 'Onset events of Violin' STRING

@DATA
4.100713,'[]','[]','[]','[]','[]','[]','[]','[37]','[+42]','[]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[]','[]'
4.31654,'[]','[]','[]','[]','[]','[]','[]','[+39]','[+36,+42]','[]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+58,+63,+66]','[]','[]','[]','[]','[+63]','[]'
4.532367,'[]','[]','[]','[]','[]','[]','[]','[39]','[+42]','[]','[]','[]','[]','[+66]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[58,63,66]','[]','[]','[]','[]','[]','[]'
4.748194,'[]','[]','[]','[]','[]','[]','[]','[39]','[+37,+42]','[]','[]','[]','[]','[+70]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[58,63,66]','[]','[]','[]','[]','[+61]','[]'
4.964021,'[]','[]','[]','[]','[]','[]','[]','[39]','[+42]','[]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[58,63,66]','[]','[]','[]','[]','[61]','[]'
5.179848,'[]','[]','[]','[]','[]','[]','[]','[+37]','[+36,+42]','[]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+56,+61,+64]','[]','[]','[]','[]','[+66]','[]'
5.395675,'[]','[]','[]','[]','[]','[]','[]','[37]','[+42]','[]','[]','[]','[]','[+64]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[+63]','[]'
5.611502,'[]','[]','[]','[]','[]','[]','[]','[37]','[+37,+42]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[+68]','[]'
5.827329,'[]','[]','[]','[]','[]','[]','[]','[37]','[+42]','[]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[68]','[]'
6.043156,'[]','[]','[]','[]','[]','[]','[]','[37]','[+36,+42]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[68]','[]'
6.258983,'[]','[]','[]','[]','[]','[]','[]','[37]','[+42]','[]','[]','[]','[]','[+64]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[68]','[]'
6.47481,'[]','[]','[]','[]','[]','[]','[]','[37]','[+37,+42]','[]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[+66]','[]'
6.690637,'[]','[]','[]','[]','[]','[]','[]','[37]','[+42]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[66]','[]'
6.906464,'[]','[]','[]','[]','[]','[]','[]','[+47]','[+36,+42]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+59,+63,+66]','[]','[]','[]','[]','[+64]','[]'
7.122291,'[]','[]','[]','[]','[]','[]','[]','[47]','[+42]','[]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[59,63,66]','[]','[]','[]','[]','[64]','[]'
7.338118,'[]','[]','[]','[]','[]','[]','[]','[47]','[+37,+42]','[]','[]','[]','[]','[+66]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[59,63,66]','[]','[]','[]','[]','[+68]','[]'
7.553945,'[]','[]','[]','[]','[]','[]','[]','[47]','[+42]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[59,63,66]','[]','[]','[]','[]','[68]','[]'
7.769772,'[]','[]','[]','[]','[]','[]','[]','[47]','[+36,+42]','[]','[]','[]','[]','[+66]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[59,63,66]','[]','[]','[]','[]','[+63]','[]'
7.985599,'[]','[]','[]','[]','[]','[]','[]','[47]','[+42]','[]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[59,63,66]','[]','[]','[]','[]','[]','[]'
8.201426,'[]','[]','[]','[]','[]','[]','[]','[47]','[+37,+42]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[59,63,66]','[]','[]','[]','[]','[+68]','[]'
8.417253,'[]','[]','[]','[]','[]','[]','[]','[47]','[+42]','[]','[]','[]','[]','[+66]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[59,63,66]','[]','[]','[]','[]','[]','[]'
8.63308,'[]','[]','[]','[]','[]','[]','[]','[+40]','[+36,+42]','[]','[]','[]','[]','[+64]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+56,+59,+64]','[]','[]','[]','[]','[+59]','[]'
8.848907,'[]','[]','[]','[]','[]','[]','[]','[40]','[+42]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,64]','[]','[]','[]','[]','[59]','[]'
9.064734,'[]','[]','[]','[]','[]','[]','[]','[40]','[+37,+42]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,64]','[]','[]','[]','[]','[59]','[]'
9.280561,'[]','[]','[]','[]','[]','[]','[]','[40]','[+42]','[]','[]','[]','[]','[+64]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,64]','[]','[]','[]','[]','[59]','[]'
9.496388,'[]','[]','[]','[]','[]','[]','[]','[+42]','[+36,+42]','[]','[]','[]','[]','[+66]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+58,+61,+66]','[]','[]','[]','[]','[+64]','[]'
9.712215,'[]','[]','[]','[]','[]','[]','[]','[42]','[+42]','[]','[]','[]','[]','[+70]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[58,61,66]','[]','[]','[]','[]','[]','[]'
9.928042,'[]','[]','[]','[]','[]','[]','[]','[42]','[+37,+42]','[]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[58,61,66]','[]','[]','[]','[]','[+61]','[]'
10.143869,'[]','[]','[]','[]','[]','[]','[]','[42]','[+42]','[]','[]','[]','[]','[+66]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[58,61,66]','[]','[]','[]','[]','[]','[]'
10.359696,'[]','[]','[]','[]','[]','[]','[]','[+37]','[+36,+42]','[]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+56,+61,+64]','[]','[]','[]','[]','[+59]','[]'
10.575523,'[]','[]','[]','[]','[]','[]','[]','[37]','[+42]','[]','[]','[]','[]','[+64]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[]','[]'
10.79135,'[]','[]','[]','[]','[]','[]','[]','[37]','[+37,+42]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[+61]','[]'
11.007177,'[]','[]','[]','[]','[]','[]','[]','[37]','[+42]','[]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[61]','[]'
11.223004,'[]','[]','[]','[]','[]','[]','[]','[37]','[+36,+42]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[+64]','[]'
11.438831,'[]','[]','[]','[]','[]','[]','[]','[37]','[+42]','[]','[]','[]','[]','[+64]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[64]','[]'
11.654658,'[]','[]','[]','[]','[]','[]','[]','[37]','[+37,+42]','[]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[+59]','[]'
11.870485,'[]','[]','[]','[]','[]','[]','[]','[37]','[+42]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[]','[]'
12.086312,'[]','[]','[]','[]','[]','[]','[]','[+44]','[+36,+42]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+56,+59,+63]','[]','[]','[]','[]','[+64]','[]'
12.302139,'[]','[]','[]','[]','[]','[]','[]','[44]','[+42]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[64]','[]'
12.517966,'[]','[]','[]','[]','[]','[]','[]','[44]','[+37,+42]','[]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[64]','[]'
12.733793,'[]','[]','[]','[]','[]','[]','[]','[44]','[+42]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[64]','[]'
12.94962,'[]','[]','[]','[]','[]','[]','[]','[44]','[+36,+42]','[]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[]','[]'
13.165447,'[]','[]','[]','[]','[]','[]','[]','[44]','[+42]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[]','[]'
13.381274,'[]','[]','[]','[]','[]','[]','[]','[44]','[+37,+42]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[]','[]'
13.597101,'[]','[]','[]','[]','[]','[]','[]','[44]','[+42]','[]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[]','[]'
13.812928,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+44]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+56,+59,+64]','[]','[]','[]','[]','[+59]','[]'
14.24771,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,64]','[]','[]','[]','[]','[]','[]'
14.682493,'[]','[]','[]','[]','[]','[]','[]','[]','[+40,+44]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,64]','[]','[]','[]','[]','[+61]','[]'
15.117275,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,64]','[]','[]','[]','[]','[61]','[]'
15.552058,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+64]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,64]','[]','[]','[]','[]','[+64]','[]'
15.98684,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,64]','[]','[]','[]','[]','[64]','[]'
16.421623,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+40,+44]','[]','[]','[]','[]','[+64]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,64]','[]','[]','[]','[]','[64]','[]'
16.856403,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,64]','[]','[]','[]','[]','[64]','[]'
17.291187,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+44]','[]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+56,+59,+63]','[]','[]','[]','[]','[+64]','[]'
17.72597,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[64]','[]'
18.160751,'[]','[]','[]','[]','[]','[]','[]','[]','[+40,+44]','[]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[+61]','[]'
18.595535,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[+61]','[]'
19.030317,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[]','[]'
19.4651,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[]','[]'
19.899883,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+40,+44]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[]','[]'
20.334663,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[]','[]'
20.769447,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+44]','[]','[]','[]','[]','[+70]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+54,+58,+63]','[]','[]','[]','[]','[+59]','[]'
21.20423,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+66]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[54,58,63]','[]','[]','[]','[]','[59]','[]'
21.639011,'[]','[]','[]','[]','[]','[]','[]','[]','[+40,+44]','[]','[]','[]','[]','[+70]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[54,58,63]','[]','[]','[]','[]','[+61]','[]'
22.073795,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+66]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[54,58,63]','[]','[]','[]','[]','[61]','[]'
22.508577,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[54,58,63]','[]','[]','[]','[]','[+64]','[]'
22.94336,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+66]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[54,58,63]','[]','[]','[]','[]','[64]','[]'
23.378143,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+40,+44]','[]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[54,58,63]','[]','[]','[]','[]','[64]','[]'
23.812923,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+70]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[54,58,63]','[]','[]','[]','[]','[64]','[]'
24.247707,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+44]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+56,+61,+64]','[]','[]','[]','[]','[+64]','[]'
24.68249,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+64]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[64]','[]'
25.117271,'[]','[]','[]','[]','[]','[]','[]','[]','[+40,+44]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[+61]','[]'
25.552055,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+64]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[+61]','[]'
25.986837,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[+63]','[]'
26.42162,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+64]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[63]','[]'
26.856403,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+40,+44]','[]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[+66]','[]'
27.291183,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[66]','[]'
27.725967,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+44]','[]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+56,+59,+63]','[]','[]','[]','[]','[+59]','[]'
28.16075,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[59]','[]'
28.595531,'[]','[]','[]','[]','[]','[]','[]','[]','[+40,+44]','[]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[+63]','[]'
29.030315,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[63]','[]'
29.465097,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+54,+58,+61]','[]','[]','[]','[]','[+68]','[]'
29.89988,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+70]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[54,58,61]','[]','[]','[]','[]','[68]','[]'
30.334663,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+40,+44]','[]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[54,58,61]','[]','[]','[]','[]','[68]','[]'
30.769444,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+70]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[54,58,61]','[]','[]','[]','[]','[68]','[]'
31.204227,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+44]','[]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+54,+58,+61]','[]','[]','[]','[]','[+64]','[]'
31.63901,'[]','[]','[]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[+70]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[54,58,61]','[]','[]','[]','[]','[+64]','[]'
32.07379,'[]','[]','[]','[]','[]','[]','[]','[]','[+40,+44]','[]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[54,58,61]','[]','[]','[]','[]','[+66]','[]'
